,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
327,BUY,2018-02-01 09:50:00+05:30,27482.7,27512.7,27475.85,27512.7,0,27400.42,27324.9,27304.57,27317.59,46.17,72.87,27492.15,27182.05,27512.7,2018-02-01 09:50:00+05:30,BANNNIFTY 50_v2_v2,27319.25,2018-02-01 12:15:00+05:30
328,BUY,2018-02-01 13:30:00+05:30,27474.25,27564.1,27466.0,27519.9,0,27410.59,27409.27,27382.96,27363.0,26.87,61.66,27513.55,27047.1,27564.1,2018-02-01 13:30:00+05:30,BANNNIFTY 50_v2_v2,27345.0,2018-02-01 14:20:00+05:30
329,SELL,2018-02-02 09:15:00+05:30,27017.4,27017.4,26850.3,26871.55,0,27270.77,27349.15,27363.27,27358.33,34.56,17.91,27542.45,27164.1,26850.3,2018-02-02 09:15:00+05:30,BANNNIFTY 50_v2_v2,26077.9,2018-02-06 14:20:00+05:30
330,SELL,2018-02-07 11:10:00+05:30,25767.85,25780.65,25742.95,25753.25,0,25842.72,25780.23,25750.89,25939.46,21.84,38.71,25966.25,25758.95,25742.95,2018-02-07 11:10:00+05:30,BANNNIFTY 50_v2_v2,25855.95,2018-02-08 09:50:00+05:30
331,BUY,2018-02-08 13:35:00+05:30,26061.05,26122.25,26058.5,26095.6,0,26000.08,25944.87,25880.26,25892.48,23.52,67.84,26069.1,25934.85,26122.25,2018-02-08 13:35:00+05:30,BANNNIFTY 50_v2_v2,25879.2,2018-02-08 14:25:00+05:30
332,SELL,2018-02-09 14:35:00+05:30,25485.45,25489.25,25416.95,25450.6,0,25499.97,25524.96,25599.88,25702.84,24.11,39.07,25575.1,25455.2,25416.95,2018-02-09 14:35:00+05:30,BANNNIFTY 50_v2_v2,25657.05,2018-02-12 14:05:00+05:30
333,SELL,2018-02-14 09:35:00+05:30,25637.5,25650.7,25554.15,25561.6,0,25671.61,25650.66,25630.12,25655.91,26.01,33.61,25810.25,25623.95,25554.15,2018-02-14 09:35:00+05:30,BANNNIFTY 50_v2_v2,25566.85,2018-02-15 12:40:00+05:30
334,SELL,2018-02-15 13:35:00+05:30,25424.55,25435.25,25362.3,25387.9,0,25491.62,25500.29,25513.3,25550.16,20.59,32.99,25614.1,25418.75,25362.3,2018-02-15 13:35:00+05:30,BANNNIFTY 50_v2_v2,25559.8,2018-02-16 09:15:00+05:30
335,SELL,2018-02-16 11:05:00+05:30,25385.0,25385.9,25334.1,25354.8,0,25414.69,25438.01,25462.75,25506.22,23.04,38.2,25556.55,25368.4,25334.1,2018-02-16 11:05:00+05:30,BANNNIFTY 50_v2_v2,25135.7,2018-02-20 12:40:00+05:30
336,SELL,2018-02-20 15:10:00+05:30,24888.0,24908.15,24844.4,24850.85,0,25010.69,25038.98,25048.26,25110.22,25.49,27.05,25120.6,24876.65,24844.4,2018-02-20 15:10:00+05:30,BANNNIFTY 50_v2_v2,24953.4,2018-02-22 15:00:00+05:30
337,BUY,2018-02-23 10:20:00+05:30,25115.15,25177.45,25112.9,25170.4,0,25061.01,24978.66,24938.02,24948.71,45.84,77.53,25129.25,24856.65,25177.45,2018-02-23 10:20:00+05:30,BANNNIFTY 50_v2_v2,25402.3,2018-02-27 13:50:00+05:30
338,SELL,2018-02-28 12:55:00+05:30,25023.4,25027.85,24993.75,24997.3,0,25038.66,25111.19,25219.81,25283.56,29.33,31.96,25069.2,25014.4,24993.75,2018-02-28 12:55:00+05:30,BANNNIFTY 50_v2_v2,25006.65,2018-03-06 09:15:00+05:30
339,SELL,2018-03-06 11:25:00+05:30,24858.85,24858.85,24827.75,24840.25,0,24887.37,24875.92,24877.47,24941.74,24.62,39.35,25003.75,24841.4,24827.75,2018-03-06 11:25:00+05:30,BANNNIFTY 50_v2_v2,24390.0,2018-03-08 14:30:00+05:30
340,BUY,2018-03-12 14:40:00+05:30,24488.8,24531.8,24487.05,24518.15,0,24475.47,24450.87,24429.08,24419.87,28.02,64.09,24513.75,24427.35,24531.8,2018-03-12 14:40:00+05:30,BANNNIFTY 50_v2_v2,24641.6,2018-03-13 14:40:00+05:30
341,SELL,2018-03-14 11:40:00+05:30,24515.45,24517.75,24487.0,24497.7,0,24552.0,24620.7,24659.55,24626.82,25.14,33.75,24610.4,24504.05,24487.0,2018-03-14 11:40:00+05:30,BANNNIFTY 50_v2_v2,24640.35,2018-03-14 12:50:00+05:30
342,BUY,2018-03-14 14:35:00+05:30,24722.5,24796.65,24707.6,24796.3,0,24678.18,24647.53,24652.25,24630.44,24.19,69.87,24750.1,24611.95,24796.65,2018-03-14 14:35:00+05:30,BANNNIFTY 50_v2_v2,24745.8,2018-03-15 15:25:00+05:30
