,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
847,SELL,2023-02-17 12:55:00+05:30,17948.9,17948.9,17923.9,17926.9,0,17965.55,17990.37,18006.46,17990.52,32.68,25.96,17999.85,17938.85,0,59,0,1,17923.9,2023-02-17 12:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,17982.3,2023-02-20 09:40:00+05:30
848,SELL,2023-02-20 13:35:00+05:30,17874.5,17876.8,17864.3,17865.3,0,17900.65,17922.22,17941.87,17955.97,22.21,29.01,17943.9,17868.05,0,28,0,84,17864.3,2023-02-20 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v1,17413.75,2023-03-01 09:35:00+05:30
849,SELL,2023-03-02 13:30:00+05:30,17353.05,17355.75,17330.75,17330.75,0,17365.17,17377.32,17385.48,17395.61,21.47,29.68,17401.8,17348.85,0,9,0,40,17330.75,2023-03-02 13:30:00+05:30,NIFTY 50_ema_adx_rsi_v1,17456.9,2023-03-03 09:15:00+05:30
850,BUY,2023-03-03 10:10:00+05:30,17494.35,17514.3,17493.8,17512.65,0,17436.23,17397.02,17387.98,17392.18,45.8,78.11,17497.55,17311.45,12,0,2,0,17514.3,2023-03-03 10:10:00+05:30,NIFTY 50_ema_adx_rsi_v1,17669.7,2023-03-09 12:15:00+05:30
851,SELL,2023-03-09 14:30:00+05:30,17622.0,17622.35,17607.8,17607.8,0,17635.97,17659.62,17674.49,17665.02,32.0,29.42,17677.05,17613.0,0,33,0,5,17607.8,2023-03-09 14:30:00+05:30,NIFTY 50_ema_adx_rsi_v1,17102.0,2023-03-17 09:15:00+05:30
852,SELL,2023-03-20 09:55:00+05:30,16937.55,16942.35,16908.75,16910.15,0,16999.28,17017.92,17020.05,17039.51,29.79,30.93,17125.9,16929.55,0,9,0,475,16908.75,2023-03-20 09:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,16984.65,2023-03-20 15:05:00+05:30
853,BUY,2023-03-21 13:00:00+05:30,17083.4,17100.25,17083.4,17090.3,0,17058.75,17036.42,17010.07,17005.46,21.2,66.86,17083.5,17022.55,60,0,30,0,17100.25,2023-03-21 13:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,17077.95,2023-03-23 09:15:00+05:30
854,SELL,2023-03-24 14:20:00+05:30,17002.55,17007.2,16997.9,16999.85,0,17038.32,17054.89,17074.24,17085.44,21.05,30.97,17091.6,17000.75,0,11,0,57,16997.9,2023-03-24 14:20:00+05:30,NIFTY 50_ema_adx_rsi_v1,17052.7,2023-03-27 12:45:00+05:30
855,SELL,2023-03-29 12:05:00+05:30,16964.55,16967.35,16945.0,16945.95,0,16983.24,16985.72,16985.94,16999.91,29.79,29.8,17048.55,16959.3,0,13,0,255,16945.0,2023-03-29 12:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,17005.75,2023-03-29 13:15:00+05:30
856,BUY,2023-03-29 15:00:00+05:30,17013.9,17065.5,17011.9,17061.45,0,17015.6,17001.84,16994.31,16999.96,20.28,69.02,17057.35,16990.4,24,0,2,0,17065.5,2023-03-29 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,17731.65,2023-04-13 12:30:00+05:30
