,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
890,BUY,2023-01-09 11:10:00+05:30,18093.05,18108.5,18091.95,18105.2,0,18056.49,17990.58,17965.46,17986.29,45.77,76.76,18101.1,17991.3,18108.5,2023-01-09 11:10:00+05:30,NIFTY 50_ema_adx_rsi_v2,18005.65,2023-01-09 13:45:00+05:30
891,SELL,2023-01-10 11:25:00+05:30,17953.95,17957.8,17940.65,17942.15,0,17977.13,18008.56,18015.2,18014.96,34.98,31.84,18030.55,17946.25,17940.65,2023-01-10 11:25:00+05:30,NIFTY 50_ema_adx_rsi_v2,17967.95,2023-01-11 10:25:00+05:30
892,SELL,2023-01-12 10:30:00+05:30,17829.7,17829.7,17812.0,17818.65,0,17869.67,17888.31,17903.08,17928.42,23.96,29.7,17944.8,17822.4,17812.0,2023-01-12 10:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,17865.7,2023-01-13 12:15:00+05:30
893,BUY,2023-01-13 14:05:00+05:30,17991.25,17996.75,17980.05,17995.1,0,17949.02,17900.14,17874.84,17878.87,54.25,77.11,17992.55,17879.45,17996.75,2023-01-13 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,17903.7,2023-01-16 12:15:00+05:30
894,BUY,2023-01-17 09:30:00+05:30,17947.2,17977.5,17944.1,17974.35,0,17906.61,17908.23,17911.37,17907.09,25.4,75.6,17958.55,17858.95,17977.5,2023-01-17 09:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,18081.7,2023-01-20 09:40:00+05:30
895,SELL,2023-01-20 14:30:00+05:30,18051.5,18053.55,18024.05,18024.55,0,18067.56,18085.47,18096.21,18089.24,24.66,24.62,18105.95,18042.85,18024.05,2023-01-20 14:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,18103.8,2023-01-23 09:15:00+05:30
896,BUY,2023-01-24 09:35:00+05:30,18190.8,18200.75,18183.6,18196.75,0,18143.45,18127.58,18118.47,18107.2,21.82,71.88,18195.7,18097.5,18200.75,2023-01-24 09:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,18110.8,2023-01-24 13:30:00+05:30
897,SELL,2023-01-25 09:20:00+05:30,18059.5,18060.25,18042.15,18047.85,0,18102.63,18114.78,18120.38,18116.39,22.15,24.96,18134.4,18057.8,18042.15,2023-01-25 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,17668.95,2023-01-31 13:15:00+05:30
898,BUY,2023-02-01 10:45:00+05:30,17803.5,17824.6,17803.5,17824.0,0,17771.58,17716.66,17673.62,17673.13,38.0,71.29,17814.25,17665.1,17824.6,2023-02-01 10:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,17710.15,2023-02-01 13:50:00+05:30
899,BUY,2023-02-03 14:20:00+05:30,17755.85,17788.15,17753.4,17784.95,0,17726.83,17690.33,17664.34,17657.11,24.52,73.23,17764.95,17678.75,17788.15,2023-02-03 14:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,17723.95,2023-02-07 12:10:00+05:30
900,BUY,2023-02-07 14:35:00+05:30,17733.95,17751.25,17733.95,17751.25,0,17719.25,17722.6,17728.83,17721.55,25.58,62.5,17746.6,17652.6,17751.25,2023-02-07 14:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,17720.0,2023-02-07 15:10:00+05:30
901,BUY,2023-02-08 09:15:00+05:30,17750.3,17793.2,17745.3,17788.9,0,17733.04,17729.05,17731.25,17723.61,21.77,66.7,17778.6,17700.5,17793.2,2023-02-08 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,17789.7,2023-02-09 09:40:00+05:30
902,BUY,2023-02-09 13:50:00+05:30,17886.7,17898.75,17882.6,17896.2,0,17854.05,17852.21,17844.58,17818.19,20.76,70.26,17888.8,17822.8,17898.75,2023-02-09 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,17815.5,2023-02-10 09:30:00+05:30
903,SELL,2023-02-13 10:05:00+05:30,17766.85,17766.85,17736.1,17746.6,0,17816.03,17831.26,17838.63,17833.77,23.24,26.0,17879.8,17767.3,17736.1,2023-02-13 10:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,17818.05,2023-02-14 09:15:00+05:30
904,BUY,2023-02-14 11:40:00+05:30,17860.35,17871.35,17858.3,17870.85,0,17846.36,17823.95,17812.79,17812.71,24.35,68.08,17869.2,17820.45,17871.35,2023-02-14 11:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,17968.85,2023-02-17 09:15:00+05:30
905,SELL,2023-02-17 12:55:00+05:30,17948.9,17948.9,17923.9,17926.9,0,17965.55,17990.37,18006.46,17990.52,32.68,25.96,17999.85,17938.85,17923.9,2023-02-17 12:55:00+05:30,NIFTY 50_ema_adx_rsi_v2,17982.3,2023-02-20 09:40:00+05:30
906,SELL,2023-02-20 13:35:00+05:30,17874.5,17876.8,17864.3,17865.3,0,17900.65,17922.22,17941.87,17955.97,22.21,29.01,17943.9,17868.05,17864.3,2023-02-20 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,17413.75,2023-03-01 09:35:00+05:30
907,SELL,2023-03-02 13:30:00+05:30,17353.05,17355.75,17330.75,17330.75,0,17365.17,17377.32,17385.48,17395.61,21.47,29.68,17401.8,17348.85,17330.75,2023-03-02 13:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,17456.9,2023-03-03 09:15:00+05:30
908,BUY,2023-03-03 10:10:00+05:30,17494.35,17514.3,17493.8,17512.65,0,17436.23,17397.02,17387.98,17392.18,45.8,78.11,17497.55,17311.45,17514.3,2023-03-03 10:10:00+05:30,NIFTY 50_ema_adx_rsi_v2,17669.7,2023-03-09 12:15:00+05:30
909,SELL,2023-03-09 14:30:00+05:30,17622.0,17622.35,17607.8,17607.8,0,17635.97,17659.62,17674.49,17665.02,32.0,29.42,17677.05,17613.0,17607.8,2023-03-09 14:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,17102.0,2023-03-17 09:15:00+05:30
910,SELL,2023-03-20 09:15:00+05:30,17066.6,17066.6,16959.9,16983.2,0,17065.39,17044.57,17032.57,17047.12,23.52,37.41,17125.9,17008.7,16959.9,2023-03-20 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,16984.65,2023-03-20 15:05:00+05:30
911,BUY,2023-03-21 13:00:00+05:30,17083.4,17100.25,17083.4,17090.3,0,17058.75,17036.42,17010.07,17005.46,21.2,66.86,17083.5,17022.55,17100.25,2023-03-21 13:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,17077.95,2023-03-23 09:15:00+05:30
912,SELL,2023-03-24 14:20:00+05:30,17002.55,17007.2,16997.9,16999.85,0,17038.32,17054.89,17074.24,17085.44,21.05,30.97,17091.6,17000.75,16997.9,2023-03-24 14:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,17052.7,2023-03-27 12:45:00+05:30
913,SELL,2023-03-27 15:10:00+05:30,16989.15,16991.8,16975.1,16982.45,0,17034.11,17030.01,17032.07,17046.9,24.62,33.54,17090.75,16982.5,16975.1,2023-03-27 15:10:00+05:30,NIFTY 50_ema_adx_rsi_v2,17001.0,2023-03-29 09:25:00+05:30
914,SELL,2023-03-29 11:05:00+05:30,17016.65,17019.25,16976.6,16983.95,0,17012.91,16994.11,16989.55,17003.36,46.69,40.0,17048.55,16988.3,16976.6,2023-03-29 11:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,17005.75,2023-03-29 13:15:00+05:30
915,BUY,2023-03-29 15:00:00+05:30,17013.9,17065.5,17011.9,17061.45,0,17015.6,17001.84,16994.31,16999.96,20.28,69.02,17057.35,16990.4,17065.5,2023-03-29 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,17731.65,2023-04-13 12:30:00+05:30
