,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
76,SELL,2024-06-21 19:00:00+05:30,95150,95205,94658,94799,907,95417.0,95582.75,95665.71,95590.53,43.15,23.29,96005,95078,94658,2024-06-21 19:00:00+05:30,SILVERMIC 50_v2_v2,93736,2024-06-25 15:55:00+05:30
77,SELL,2024-06-25 16:55:00+05:30,93602,93602,93507,93521,69,93621.87,93606.85,93606.28,93719.91,21.08,38.5,93750,93561,93507,2024-06-25 16:55:00+05:30,SILVERMIC 50_v2_v2,91758,2024-06-27 14:50:00+05:30
78,BUY,2024-06-27 18:40:00+05:30,92263,92500,92263,92482,443,92102.26,91881.72,91752.95,91782.08,38.41,72.35,92460,91667,92500,2024-06-27 18:40:00+05:30,SILVERMIC 50_v2_v2,91715,2024-06-27 21:45:00+05:30
79,BUY,2024-06-28 10:55:00+05:30,92046,92159,92046,92159,62,92028.37,91986.36,91939.99,91897.26,27.61,68.75,92106,91910,92159,2024-06-28 10:55:00+05:30,SILVERMIC 50_v2_v2,92377,2024-06-28 20:05:00+05:30
80,SELL,2024-07-01 10:00:00+05:30,92051,92056,91971,91973,202,92135.03,92266.55,92358.39,92329.02,32.2,30.84,92390,92011,91971,2024-07-01 10:00:00+05:30,SILVERMIC 50_v2_v2,92238,2024-07-01 13:55:00+05:30
81,BUY,2024-07-01 16:55:00+05:30,92411,92538,92411,92500,203,92354.06,92283.11,92255.7,92255.68,25.6,69.61,92430,92213,92538,2024-07-01 16:55:00+05:30,SILVERMIC 50_v2_v2,92220,2024-07-01 18:15:00+05:30
82,BUY,2024-07-01 19:10:00+05:30,92572,92660,92525,92620,251,92424.82,92379.37,92328.73,92297.41,20.13,61.97,92600,92180,92660,2024-07-01 19:10:00+05:30,SILVERMIC 50_v2_v2,92302,2024-07-01 20:05:00+05:30
83,BUY,2024-07-02 11:00:00+05:30,92570,92619,92528,92611,104,92495.47,92442.8,92402.17,92358.11,22.25,65.99,92600,92369,92619,2024-07-02 11:00:00+05:30,SILVERMIC 50_v2_v2,92400,2024-07-02 12:50:00+05:30
84,BUY,2024-07-02 18:05:00+05:30,92471,92693,92471,92693,363,92440.09,92452.19,92454.54,92425.46,21.91,71.0,92553,92216,92693,2024-07-02 18:05:00+05:30,SILVERMIC 50_v2_v2,92549,2024-07-02 21:40:00+05:30
85,BUY,2024-07-03 09:00:00+05:30,92799,92989,92754,92938,493,92647.84,92682.31,92660.79,92584.33,26.03,68.6,92639,92414,92989,2024-07-03 09:00:00+05:30,SILVERMIC 50_v2_v2,95914,2024-07-08 21:00:00+05:30
